Date,Adj Close
6/29/10,4.778
6/30/10,4.766
7/1/10,4.392
7/2/10,3.84
7/6/10,3.222
7/7/10,3.16
7/8/10,3.492
7/9/10,3.48
7/12/10,3.41
7/13/10,3.628
7/14/10,3.968
7/15/10,3.978
7/16/10,4.128
7/19/10,4.382
7/20/10,4.06
7/21/10,4.044
7/22/10,4.2
7/23/10,4.258
7/26/10,4.19
7/27/10,4.11
7/28/10,4.144
7/29/10,4.07
7/30/10,3.988
8/2/10,4.184
8/3/10,4.39
8/4/10,4.252
8/5/10,4.09
8/6/10,3.918
8/9/10,3.92
8/10/10,3.806
8/11/10,3.58
8/12/10,3.52
8/13/10,3.664
8/16/10,3.756
8/17/10,3.83
8/18/10,3.754
8/19/10,3.758
8/20/10,3.82
8/23/10,4.026
8/24/10,3.84
8/25/10,3.98
8/26/10,3.95
8/27/10,3.94
8/30/10,3.974
8/31/10,3.896
9/1/10,4.09
9/2/10,4.212
9/3/10,4.21
9/7/10,4.108
9/8/10,4.18
9/9/10,4.142
9/10/10,4.034
9/13/10,4.144
9/14/10,4.224
9/15/10,4.396
9/16/10,4.188
9/17/10,4.046
9/20/10,4.212
9/21/10,4.154
9/22/10,3.974
9/23/10,3.912
9/24/10,4.02
9/27/10,4.106
9/28/10,4.28
9/29/10,4.396
9/30/10,4.082
10/1/10,4.12
10/4/10,4.198
10/5/10,4.224
10/6/10,4.092
10/7/10,4.086
10/8/10,4.086
10/11/10,4.048
10/12/10,4.048
10/13/10,4.108
10/14/10,4.15
10/15/10,4.108
10/18/10,4.046
10/19/10,4.01
10/20/10,4.13
10/21/10,4.15
10/22/10,4.144
10/25/10,4.17
10/26/10,4.272
10/27/10,4.2
10/28/10,4.238
10/29/10,4.368
11/1/10,4.282
11/2/10,4.25
11/3/10,4.354
11/4/10,4.98
11/5/10,4.888
11/8/10,4.996
11/9/10,4.926
11/10/10,5.872
11/11/10,5.608
11/12/10,5.968
11/15/10,6.16
11/16/10,5.934
11/17/10,5.898
11/18/10,5.978
11/19/10,6.198
11/22/10,6.68
11/23/10,6.914
11/24/10,7.094
11/26/10,7.064
11/29/10,6.866
11/30/10,7.066
12/1/10,6.87
12/2/10,6.47
12/3/10,6.298
12/6/10,6.062
12/7/10,6.312
12/8/10,6.474
12/9/10,6.41
12/10/10,6.304
12/13/10,6.11
12/14/10,5.706
12/15/10,5.92
12/16/10,6.162
12/17/10,6.272
12/20/10,6.34
12/21/10,6.452
12/22/10,6.526
12/23/10,6.018
12/27/10,5.11
12/28/10,5.282
12/29/10,5.546
12/30/10,5.3
12/31/10,5.326
1/3/11,5.324
1/4/11,5.334
1/5/11,5.366
1/6/11,5.576
1/7/11,5.648
1/10/11,5.69
1/11/11,5.392
1/12/11,5.392
1/13/11,5.244
1/14/11,5.15
1/18/11,5.128
1/19/11,4.806
1/20/11,4.524
1/21/11,4.608
1/24/11,4.898
1/25/11,4.936
1/26/11,4.95
1/27/11,4.984
1/28/11,4.802
1/31/11,4.82
2/1/11,4.782
2/2/11,4.788
2/3/11,4.726
2/4/11,4.692
2/7/11,4.614
2/8/11,4.898
2/9/11,4.642
2/10/11,4.644
2/11/11,4.65
2/14/11,4.616
2/15/11,4.568
2/16/11,4.946
2/17/11,4.72
2/18/11,4.636
2/22/11,4.374
2/23/11,4.366
2/24/11,4.506
2/25/11,4.722
2/28/11,4.778
3/1/11,4.788
3/2/11,4.804
3/3/11,4.872
3/4/11,4.99
3/7/11,4.988
3/8/11,4.932
3/9/11,4.944
3/10/11,4.802
3/11/11,4.814
3/14/11,4.65
